Imie	Nazwisko	Miasto	D_wyj	D_powr	Koszt_wyj
Anna	Kaliska	Kielce	2014-11-17	2014-11-17	307,70
Albert	Marakasz	Kutno	2014-11-17	2014-11-17	278,80
Tomasz	Rzepka	Malbork	2014-11-17	2014-11-19	1102,00
Zofia	Seredycka	Siedlce	2014-11-17	2014-11-19	434,40
Marek	Trzeski	Malbork	2014-11-17	2014-11-17	680,00
Janina	Bolanowska	Mielec	2014-11-18	2014-11-18	442,00
Marzena	Grab	Kielce	2014-11-18	2014-11-18	307,70
Justyna	Krynicka	Mielec	2014-11-18	2014-11-18	442,00
Kornel	Henrykowski	Katowice	2014-11-19	2014-11-19	494,70
Marcin	Jarskarski	Siedlce	2014-11-19	2014-11-19	156,40
Zuzanna	Kowalska	Mielec	2014-11-19	2014-11-19	442,00
Albert	Marakasz	Krakow	2014-11-19	2014-11-19	501,50
Amadeusz	Helski	Bydgoszcz	2014-11-20	2014-11-21	654,40
Karolina	Janes	Kalisz	2014-11-20	2014-11-20	442,00
Piotr	Sworacz	Zgierz	2014-11-20	2014-11-20	212,50
Paulina	Basala	Mielec	2014-11-21	2014-11-22	570,00
Wiktor	Budzis	Kutno	2014-11-21	2014-11-22	407,80
Jerzy	Dusznicki	Zgierz	2014-11-22	2014-11-26	688,50
Justyna	Laska	Siedlce	2014-11-22	2014-11-22	156,40
Bogumiˆ	Lubelski	Katowice	2014-11-22	2014-11-23	693,70
Albert	Marakasz	Katowice	2014-11-22	2014-11-22	494,70
Krystyna	Pleszewska	Krakow	2014-11-22	2014-11-25	1116,50
Narcyz	Polanicki	Malbork	2014-11-22	2014-11-23	891,00
Anna	Sobecka	Lublin	2014-11-22	2014-11-25	737,70
Anna	Augustowska	Bydgoszcz	2014-11-23	2014-11-23	513,40
Amadeusz	Helski	Malbork	2014-11-24	2014-11-25	891,00
Malwina	Papkin	Radom	2014-11-24	2014-11-24	178,50
Marzena	Grab	Malbork	2014-11-25	2014-11-25	680,00
Albert	Marakasz	Radom	2014-11-25	2014-11-25	178,50
Dorota	Sosnowiecka	Bydgoszcz	2014-11-25	2014-11-25	513,40
Sebastian	Argonski	Siedlce	2014-11-27	2014-11-30	573,40
Kornel	Henrykowski	Krakow	2014-11-27	2014-11-27	501,50
Marek	Holski	Radom	2014-11-27	2014-12-01	674,50
Jerzy	Jurajski	Kalisz	2014-11-27	2014-12-01	1078,00
Andrzej	Klajn	Kalisz	2014-11-27	2014-11-27	442,00
Zuzanna	Kowalska	Olsztyn	2014-11-27	2014-11-28	526,80
Wojciech	Krokus	Kalisz	2014-11-27	2014-11-27	442,00
Albert	Marakasz	Krakow	2014-11-27	2014-11-30	1116,50
Paulina	Maskor	Katowice	2014-11-27	2014-12-01	1290,70
Jerzy	Misiek	Katowice	2014-11-27	2014-11-29	892,70
Teresa	Moskiewska	Olsztyn	2014-11-27	2014-11-27	363,80
Maria	Ozimek	Lublin	2014-11-27	2014-11-27	290,70
Katarzyna	Piotrowska	Olsztyn	2014-11-27	2014-11-28	526,80
Zofia	Seredycka	Zgierz	2014-11-27	2014-11-27	212,50
Anna	Sobecka	Kalisz	2014-11-27	2014-11-28	601,00
Dorota	Sosnowiecka	Bydgoszcz	2014-11-27	2014-11-27	513,40
Paulina	Watrach	Katowice	2014-11-27	2014-11-28	693,70
Kamil	Zabrzeski	Radom	2014-11-27	2014-11-29	426,50
Paulina	Chorzowska	Bydgoszcz	2014-11-28	2014-12-01	936,40
Patrycja	Czarnoleska	Katowice	2014-11-28	2014-11-30	892,70
Wiktor	Czekan	Malbork	2014-11-28	2014-11-30	1102,00
Edwina	Elawa	Mielec	2014-11-28	2014-11-30	698,00
Adam	Falski	Katowice	2014-11-28	2014-11-29	693,70
Olivia	Gabor	Krakow	2014-11-28	2014-11-28	501,50
Jerzy	Granica	Kielce	2014-11-28	2014-11-28	307,70
Marzena	Gras	Kielce	2014-11-28	2014-11-29	485,70
Marcin	Jarskarski	Kalisz	2014-11-28	2014-12-02	1078,00
Anna	Kaliska	Olsztyn	2014-11-28	2014-11-28	363,80
Kacper	Krajewski	Bydgoszcz	2014-11-28	2014-11-28	513,40
Justyna	Krynicka	Kutno	2014-11-28	2014-11-29	407,80
Ewa	Kwiska	Katowice	2014-11-28	2014-12-01	1091,70
Zyta	Mazurkiewicz	Radom	2014-11-28	2014-12-02	674,50
Irma	Opoczna	Malbork	2014-11-28	2014-12-02	1524,00
Rozalia	Parad	Zgierz	2014-11-28	2014-12-02	688,50
Krystyna	Pleszewska	Lublin	2014-11-28	2014-11-29	439,70
Sebastian	Puchacz	Katowice	2014-11-28	2014-11-29	693,70
Amelia	Wojtecka	Malbork	2014-11-28	2014-12-01	1313,00
Adam	Wradoch	Malbork	2014-11-28	2014-11-29	891,00
Natalia	Idar	Lublin	2014-11-29	2014-11-30	439,70
Anna	Kaliska	Malbork	2014-12-01	2014-12-01	680,00
Andrzej	Klajn	Kalisz	2014-12-01	2014-12-01	442,00
Kacper	Krajewski	Radom	2014-12-01	2014-12-02	302,50
Wojciech	Krokus	Bydgoszcz	2014-12-01	2014-12-01	513,40
Teresa	Moskiewska	Kalisz	2014-12-01	2014-12-01	442,00
Maria	Ozimek	Katowice	2014-12-01	2014-12-01	494,70
Zofia	Seredycka	Bydgoszcz	2014-12-01	2014-12-01	513,40
Wiktor	Budzis	Kalisz	2014-12-02	2014-12-02	442,00
Patrycja	Czarnoleska	Zgierz	2014-12-02	2014-12-03	331,50
Paulina	Dok	Olsztyn	2014-12-02	2014-12-04	689,80
Olivia	Gabor	Kutno	2014-12-02	2014-12-02	278,80
Krystyna	Pleszewska	Siedlce	2014-12-02	2014-12-02	156,40
Anna	Sobecka	Lublin	2014-12-02	2014-12-02	290,70
Natalia	Idar	Kutno	2014-12-03	2014-12-03	278,80
Paulina	Chorzowska	Bydgoszcz	2014-12-04	2014-12-04	513,40
Ewa	Fidyk	Lublin	2014-12-04	2014-12-05	439,70
Janusz	Jurkicz	Radom	2014-12-04	2014-12-05	302,50
Wojciech	Mazowiecki	Siedlce	2014-12-04	2014-12-05	295,40
Katarzyna	Piotrowska	Lublin	2014-12-04	2014-12-08	886,70
Kamil	Pomorski	Katowice	2014-12-04	2014-12-08	1290,70
Piotr	Roman	Kutno	2014-12-04	2014-12-06	536,80
Sebastian	Argonski	Lublin	2014-12-09	2014-12-10	439,70
Andrzej	Barcz	Kutno	2014-12-09	2014-12-09	278,80
Bonifacy	Barczewski	Lublin	2014-12-09	2014-12-12	737,70
Karolina	Bizuta	Zgierz	2014-12-09	2014-12-10	331,50
Dominika	Bodera	Kalisz	2014-12-09	2014-12-09	442,00
Zofia	Budzianowska	Katowice	2014-12-09	2014-12-09	494,70
Sebastian	Halik	Malbork	2014-12-09	2014-12-11	1102,00
Amadeusz	Helski	Zgierz	2014-12-09	2014-12-13	688,50
Natalia	Idar	Mielec	2014-12-09	2014-12-10	570,00
Marcin	Jarskarski	Kalisz	2014-12-09	2014-12-11	760,00
Andrzej	Klajn	Malbork	2014-12-09	2014-12-10	891,00
Justyna	Kolska	Katowice	2014-12-09	2014-12-11	892,70
Wojciech	Krokus	Siedlce	2014-12-09	2014-12-12	573,40
Michalina	Lamda	Zgierz	2014-12-09	2014-12-12	569,50
Adam	Markowski	Radom	2014-12-09	2014-12-13	674,50
Kazimiera	Parczewska	Bydgoszcz	2014-12-09	2014-12-10	654,40
Zuzanna	Piotrkowska	Malbork	2014-12-09	2014-12-10	891,00
Grzegorz	Podolski	Kalisz	2014-12-09	2014-12-11	760,00
Zofia	Seredycka	Kielce	2014-12-09	2014-12-13	1019,70
Marek	Trzeski	Olsztyn	2014-12-09	2014-12-10	526,80
Adam	Wradoch	Olsztyn	2014-12-09	2014-12-10	526,80
Piotr	Armowicz	Krakow	2014-12-10	2014-12-11	706,50
Karolina	Arska	Zgierz	2014-12-10	2014-12-11	331,50
Janina	Bolanowska	Radom	2014-12-10	2014-12-13	550,50
Kornel	Czerski	Krakow	2014-12-10	2014-12-13	1116,50
Jerzy	Dusznicki	Lublin	2014-12-10	2014-12-11	439,70
Marzena	Grab	Kalisz	2014-12-10	2014-12-10	442,00
Marzena	Gras	Krakow	2014-12-10	2014-12-12	911,50
Kornel	Henrykowski	Olsztyn	2014-12-10	2014-12-14	1015,80
Marek	Holski	Zgierz	2014-12-10	2014-12-11	331,50
Karolina	Janes	Mielec	2014-12-10	2014-12-14	954,00
Justyna	Krynicka	Malbork	2014-12-10	2014-12-12	1102,00
Zofia	Maselska	Kielce	2014-12-10	2014-12-11	485,70
Paulina	Maskor	Kutno	2014-12-10	2014-12-13	665,80
Zyta	Mazurkiewicz	Lublin	2014-12-10	2014-12-12	588,70
Jerzy	Misiek	Katowice	2014-12-10	2014-12-13	1091,70
Dorota	Morska	Olsztyn	2014-12-10	2014-12-14	1015,80
Ewelia	Nyska	Bydgoszcz	2014-12-10	2014-12-11	654,40
Daria	Paryska	Kutno	2014-12-10	2014-12-11	407,80
Karolina	Podkalicka	Siedlce	2014-12-10	2014-12-10	156,40
Kamil	Pomorski	Radom	2014-12-10	2014-12-13	550,50
Piotr	Roman	Malbork	2014-12-10	2014-12-14	1524,00
Kamil	Zabrzeski	Kutno	2014-12-10	2014-12-11	407,80
Anna	Kaliska	Krakow	2014-12-11	2014-12-12	706,50
Andrzej	Klajn	Lublin	2014-12-11	2014-12-11	290,70
Andrzej	Barcz	Mielec	2014-12-12	2014-12-12	442,00
Karolina	Bizuta	Kalisz	2014-12-12	2014-12-12	442,00
Dominika	Bodera	Kutno	2014-12-12	2014-12-12	278,80
Zofia	Budzianowska	Kutno	2014-12-12	2014-12-12	278,80
Adam	Falski	Radom	2014-12-12	2014-12-12	178,50
Malwina	Papkin	Siedlce	2014-12-12	2014-12-15	573,40
Zuzanna	Piotrkowska	Kielce	2014-12-12	2014-12-12	307,70
Tomasz	Rzepka	Kielce	2014-12-12	2014-12-12	307,70
Jan	Suwski	Kielce	2014-12-12	2014-12-16	1019,70
Andrzej	Klajn	Krakow	2014-12-13	2014-12-13	501,50
Karolina	Podkalicka	Krakow	2014-12-13	2014-12-13	501,50
Anna	Augustowska	Zgierz	2014-12-14	2014-12-14	212,50
Sebastian	Halik	Krakow	2014-12-14	2014-12-14	501,50
Natalia	Idar	Siedlce	2014-12-15	2014-12-15	156,40
Adam	Markowski	Zgierz	2014-12-15	2014-12-15	212,50
Wojciech	Mazowiecki	Siedlce	2014-12-15	2014-12-15	156,40
Andrzej	Barcz	Malbork	2014-12-16	2014-12-17	891,00
Patrycja	Czarnoleska	Olsztyn	2014-12-16	2014-12-19	852,80
Olivia	Gabor	Krakow	2014-12-16	2014-12-17	706,50
Kazimiera	Parczewska	Kalisz	2014-12-16	2014-12-16	442,00
Katarzyna	Piotrowska	Kutno	2014-12-16	2014-12-16	278,80
Piotr	Rajczakowski	Siedlce	2014-12-16	2014-12-17	295,40
Anna	Augustowska	Olsztyn	2014-12-17	2014-12-17	363,80
Paulina	Maskor	Krakow	2014-12-17	2014-12-17	501,50
Karolina	Podkalicka	Bydgoszcz	2014-12-17	2014-12-17	513,40
Jerzy	Dusznicki	Olsztyn	2014-12-18	2014-12-18	363,80
Kacper	Krajewski	Olsztyn	2014-12-18	2014-12-18	363,80
Zuzanna	Piotrkowska	Lublin	2014-12-18	2014-12-18	290,70
Piotr	Roman	Zgierz	2014-12-18	2014-12-19	331,50
Kamil	Zabrzeski	Katowice	2014-12-18	2014-12-18	494,70
Jerzy	Misiek	Siedlce	2014-12-19	2014-12-19	156,40
Teresa	Moskiewska	Katowice	2014-12-19	2014-12-19	494,70
Karolina	Arska	Kielce	2014-12-20	2014-12-20	307,70
Piotr	Rajczakowski	Malbork	2014-12-20	2014-12-20	680,00
Dominika	Bodera	Mielec	2014-12-21	2014-12-21	442,00
Piotr	Bojarun	Bydgoszcz	2014-12-21	2014-12-21	513,40
Amelia	Calika	Malbork	2014-12-21	2014-12-21	680,00
Patrycja	Czarnoleska	Krakow	2014-12-21	2014-12-21	501,50
Olivia	Gabor	Lublin	2014-12-21	2014-12-21	290,70
Karolina	Janes	Kalisz	2014-12-21	2014-12-22	601,00
Bogumiˆ	Lubelski	Mielec	2014-12-21	2014-12-22	570,00
Paulina	Watrach	Zgierz	2014-12-21	2014-12-22	331,50
Anna	Augustowska	Krakow	2014-12-22	2014-12-22	501,50
Eustachy	Bydgoski	Olsztyn	2014-12-22	2014-12-22	363,80
Marcin	Jarskarski	Kielce	2014-12-22	2014-12-23	485,70
Janusz	Jurkicz	Lublin	2014-12-22	2014-12-22	290,70
Anna	Kaliska	Siedlce	2014-12-22	2014-12-23	295,40
Michalina	Lamda	Siedlce	2014-12-22	2014-12-22	156,40
Albert	Marakasz	Krakow	2014-12-22	2014-12-22	501,50
Zofia	Maselska	Zgierz	2014-12-22	2014-12-22	212,50
Zuzanna	Piotrkowska	Krakow	2014-12-22	2014-12-23	706,50
Zuzanna	Piotrkowska	Mielec	2014-12-22	2014-12-22	442,00
Katarzyna	Piotrowska	Zgierz	2014-12-22	2014-12-23	331,50
Zofia	Seredycka	Kutno	2014-12-22	2014-12-22	278,80
Dorota	Sosnowiecka	Bydgoszcz	2014-12-22	2014-12-23	654,40
Wiktor	Wroblewski	Radom	2014-12-22	2014-12-22	178,50
Wiktor	Budzis	Siedlce	2014-12-28	2014-12-29	295,40
Justyna	Laska	Lublin	2014-12-28	2014-12-30	588,70
Marzena	Grab	Kalisz	2014-12-29	2014-12-30	601,00
Karolina	Janes	Katowice	2014-12-29	2014-12-29	494,70
Anna	Kaliska	Bydgoszcz	2014-12-29	2014-12-29	513,40
Zuzanna	Piotrkowska	Katowice	2014-12-29	2014-12-29	494,70
Piotr	Roman	Kalisz	2014-12-29	2014-12-29	442,00
Adam	Wradoch	Zgierz	2014-12-29	2014-12-30	331,50
